Number_Inserted,Time_Taken
100000, 0.000000
100001, 0.000000
100002, 0.001000
100003, 0.000000
100004, 0.000000
100005, 0.001000
100006, 0.000000
100007, 0.001000
100008, 0.000000
100009, 0.001000
100010, 0.001000
100011, 0.000000
100012, 0.001000
100013, 0.000000
100014, 0.001000
100015, 0.000000
100016, 0.000000
100017, 0.001000
100018, 0.000000
100019, 0.000000
100020, 0.001000
100021, 0.000000
100022, 0.001000
100023, 0.000000
100024, 0.000000
100025, 0.001000
100026, 0.000000
100027, 0.000000
100028, 0.001000
100029, 0.000000
100030, 0.001000
100031, 0.000000
100032, 0.001000
100033, 0.000000
100034, 0.000000
100035, 0.001000
100036, 0.000000
100037, 0.000000
100038, 0.001000
100039, 0.000000
100040, 0.001000
100041, 0.000000
100042, 0.000000
100043, 0.001000
100044, 0.000000
100045, 0.001000
100046, 0.000000
100047, 0.000000
100048, 0.001000
100049, 0.000000
100050, 0.002000
100051, 0.000000
100052, 0.000000
100053, 0.001000
100054, 0.000000
100055, 0.001000
100056, 0.000000
100057, 0.000000
100058, 0.001000
100059, 0.000000
100060, 0.000000
100061, 0.001000
100062, 0.000000
100063, 0.001000
100064, 0.000000
100065, 0.000000
100066, 0.001000
100067, 0.000000
100068, 0.001000
100069, 0.000000
100070, 0.000000
100071, 0.001000
100072, 0.000000
100073, 0.000000
100074, 0.001000
100075, 0.000000
100076, 0.001000
100077, 0.000000
100078, 0.000000
100079, 0.001000
100080, 0.000000
100081, 0.001000
100082, 0.000000
100083, 0.000000
100084, 0.001000
100085, 0.000000
100086, 0.000000
100087, 0.001000
100088, 0.000000
100089, 0.001000
100090, 0.001000
100091, 0.000000
100092, 0.001000
100093, 0.000000
100094, 0.001000
100095, 0.000000
100096, 0.000000
100097, 0.001000
100098, 0.000000
100099, 0.000000
100100, 0.001000
100101, 0.000000
100102, 0.001000
100103, 0.000000
100104, 0.000000
100105, 0.001000
100106, 0.000000
100107, 0.001000
100108, 0.000000
100109, 0.000000
100110, 0.001000
100111, 0.000000
100112, 0.000000
100113, 0.001000
100114, 0.000000
100115, 0.001000
100116, 0.000000
100117, 0.001000
100118, 0.001000
100119, 0.000000
100120, 0.001000
100121, 0.000000
100122, 0.000000
100123, 0.001000
100124, 0.000000
100125, 0.001000
100126, 0.000000
100127, 0.001000
100128, 0.001000
100129, 0.000000
100130, 0.001000
100131, 0.000000
100132, 0.000000
100133, 0.001000
100134, 0.000000
100135, 0.001000
100136, 0.000000
100137, 0.001000
100138, 0.000000
100139, 0.000000
100140, 0.001000
100141, 0.000000
100142, 0.001000
100143, 0.000000
100144, 0.000000
100145, 0.001000
100146, 0.000000
100147, 0.000000
100148, 0.001000
100149, 0.000000
100150, 0.001000
100151, 0.000000
100152, 0.000000
100153, 0.001000
100154, 0.000000
100155, 0.000000
100156, 0.001000
100157, 0.000000
100158, 0.001000
100159, 0.000000
100160, 0.000000
100161, 0.001000
100162, 0.000000
100163, 0.001000
100164, 0.000000
100165, 0.000000
100166, 0.001000
100167, 0.001000
100168, 0.001000
100169, 0.000000
100170, 0.000000
100171, 0.001000
100172, 0.000000
100173, 0.001000
100174, 0.000000
100175, 0.000000
100176, 0.001000
100177, 0.000000
100178, 0.001000
100179, 0.000000
100180, 0.000000
100181, 0.001000
100182, 0.000000
100183, 0.000000
100184, 0.001000
100185, 0.000000
100186, 0.001000
100187, 0.000000
100188, 0.000000
100189, 0.001000
100190, 0.000000
100191, 0.000000
100192, 0.001000
100193, 0.000000
100194, 0.001000
100195, 0.000000
100196, 0.000000
100197, 0.001000
100198, 0.000000
100199, 0.000000
100200, 0.001000
100201, 0.000000
100202, 0.001000
100203, 0.000000
100204, 0.000000
100205, 0.001000
100206, 0.000000
100207, 0.000000
100208, 0.001000
100209, 0.001000
100210, 0.001000
100211, 0.000000
100212, 0.001000
100213, 0.000000
100214, 0.000000
100215, 0.001000
100216, 0.000000
100217, 0.001000
100218, 0.000000
100219, 0.000000
100220, 0.001000
100221, 0.000000
100222, 0.000000
100223, 0.001000
100224, 0.000000
100225, 0.001000
100226, 0.000000
100227, 0.000000
100228, 0.001000
100229, 0.000000
100230, 0.001000
100231, 0.001000
100232, 0.001000
100233, 0.001000
100234, 0.000000
100235, 0.001000
100236, 0.000000
100237, 0.001000
100238, 0.000000
100239, 0.000000
100240, 0.000000
100241, 0.001000
100242, 0.001000
100243, 0.000000
100244, 0.001000
100245, 0.000000
100246, 0.001000
100247, 0.000000
100248, 0.000000
100249, 0.001000
100250, 0.000000
100251, 0.001000
100252, 0.000000
100253, 0.000000
100254, 0.001000
100255, 0.000000
100256, 0.000000
100257, 0.001000
100258, 0.000000
100259, 0.001000
100260, 0.000000
100261, 0.000000
100262, 0.001000
100263, 0.000000
100264, 0.001000
100265, 0.000000
100266, 0.000000
100267, 0.001000
100268, 0.000000
100269, 0.000000
100270, 0.001000
100271, 0.000000
100272, 0.001000
100273, 0.000000
100274, 0.000000
100275, 0.001000
100276, 0.000000
100277, 0.000000
100278, 0.001000
100279, 0.000000
100280, 0.000000
100281, 0.001000
100282, 0.001000
100283, 0.001000
100284, 0.001000
100285, 0.000000
100286, 0.000000
100287, 0.001000
100288, 0.000000
100289, 0.000000
100290, 0.001000
100291, 0.000000
100292, 0.001000
100293, 0.000000
100294, 0.000000
100295, 0.001000
100296, 0.000000
100297, 0.001000
100298, 0.000000
100299, 0.000000
100300, 0.001000
100301, 0.000000
100302, 0.000000
100303, 0.001000
100304, 0.000000
100305, 0.001000
100306, 0.000000
100307, 0.000000
100308, 0.001000
100309, 0.000000
100310, 0.000000
100311, 0.001000
100312, 0.000000
100313, 0.001000
100314, 0.000000
100315, 0.000000
100316, 0.001000
100317, 0.000000
100318, 0.001000
100319, 0.000000
100320, 0.000000
100321, 0.001000
100322, 0.001000
100323, 0.001000
100324, 0.000000
100325, 0.001000
100326, 0.000000
100327, 0.000000
100328, 0.001000
100329, 0.000000
100330, 0.001000
100331, 0.000000
100332, 0.000000
100333, 0.001000
100334, 0.000000
100335, 0.001000
100336, 0.000000
100337, 0.000000
100338, 0.001000
100339, 0.000000
100340, 0.001000
100341, 0.000000
100342, 0.000000
100343, 0.001000
100344, 0.000000
100345, 0.000000
100346, 0.001000
100347, 0.000000
100348, 0.001000
100349, 0.000000
100350, 0.000000
100351, 0.001000
100352, 0.000000
100353, 0.001000
100354, 0.000000
100355, 0.000000
100356, 0.001000
100357, 0.000000
100358, 0.000000
100359, 0.001000
100360, 0.000000
100361, 0.002000
100362, 0.000000
100363, 0.001000
100364, 0.000000
100365, 0.000000
100366, 0.001000
100367, 0.000000
100368, 0.000000
100369, 0.001000
100370, 0.000000
100371, 0.001000
100372, 0.000000
100373, 0.000000
100374, 0.001000
100375, 0.001000
100376, 0.001000
100377, 0.000000
100378, 0.000000
100379, 0.001000
100380, 0.001000
100381, 0.001000
100382, 0.001000
100383, 0.000000
100384, 0.000000
100385, 0.001000
100386, 0.000000
100387, 0.002000
100388, 0.002000
100389, 0.001000
100390, 0.001000
100391, 0.001000
100392, 0.000000
100393, 0.001000
100394, 0.000000
100395, 0.001000
100396, 0.001000
100397, 0.001000
100398, 0.000000
100399, 0.001000
100400, 0.000000
100401, 0.000000
100402, 0.001000
100403, 0.000000
100404, 0.001000
100405, 0.000000
100406, 0.000000
100407, 0.001000
100408, 0.000000
100409, 0.000000
100410, 0.001000
100411, 0.000000
100412, 0.001000
100413, 0.000000
100414, 0.001000
100415, 0.000000
100416, 0.000000
100417, 0.001000
100418, 0.000000
100419, 0.001000
100420, 0.001000
100421, 0.001000
100422, 0.000000
100423, 0.000000
100424, 0.001000
100425, 0.000000
100426, 0.000000
100427, 0.001000
100428, 0.000000
100429, 0.001000
100430, 0.000000
100431, 0.000000
100432, 0.001000
100433, 0.000000
100434, 0.001000
100435, 0.000000
100436, 0.000000
100437, 0.001000
100438, 0.000000
100439, 0.000000
100440, 0.001000
100441, 0.000000
100442, 0.001000
100443, 0.000000
100444, 0.000000
100445, 0.001000
100446, 0.000000
100447, 0.000000
100448, 0.001000
100449, 0.000000
100450, 0.001000
100451, 0.000000
100452, 0.000000
100453, 0.001000
100454, 0.000000
100455, 0.001000
100456, 0.000000
100457, 0.000000
100458, 0.001000
100459, 0.000000
100460, 0.001000
100461, 0.001000
100462, 0.001000
100463, 0.000000
100464, 0.000000
100465, 0.001000
100466, 0.000000
100467, 0.001000
100468, 0.000000
100469, 0.001000
100470, 0.000000
100471, 0.000000
100472, 0.001000
100473, 0.000000
100474, 0.001000
100475, 0.000000
100476, 0.000000
100477, 0.001000
100478, 0.000000
100479, 0.000000
100480, 0.001000
100481, 0.000000
100482, 0.000000
100483, 0.001000
100484, 0.000000
100485, 0.000000
100486, 0.001000
100487, 0.000000
100488, 0.000000
100489, 0.000000
100490, 0.001000
100491, 0.000000
100492, 0.000000
100493, 0.001000
100494, 0.000000
100495, 0.000000
100496, 0.000000
100497, 0.001000
100498, 0.000000
100499, 0.000000
100500, 0.000000
100501, 0.001000
100502, 0.000000
100503, 0.000000
100504, 0.001000
100505, 0.000000
100506, 0.001000
100507, 0.001000
100508, 0.000000
100509, 0.000000
100510, 0.001000
100511, 0.000000
100512, 0.000000
100513, 0.001000
100514, 0.000000
100515, 0.002000
100516, 0.000000
100517, 0.000000
100518, 0.001000
100519, 0.000000
100520, 0.000000
100521, 0.001000
100522, 0.000000
100523, 0.000000
100524, 0.000000
100525, 0.001000
100526, 0.000000
100527, 0.000000
100528, 0.000000
100529, 0.001000
100530, 0.000000
100531, 0.000000
100532, 0.001000
100533, 0.000000
100534, 0.000000
100535, 0.000000
100536, 0.001000
100537, 0.000000
100538, 0.000000
100539, 0.001000
100540, 0.000000
100541, 0.000000
100542, 0.000000
100543, 0.001000
100544, 0.000000
100545, 0.000000
100546, 0.001000
100547, 0.000000
100548, 0.000000
100549, 0.000000
100550, 0.001000
100551, 0.000000
100552, 0.000000
100553, 0.001000
100554, 0.000000
100555, 0.001000
100556, 0.001000
100557, 0.000000
100558, 0.000000
100559, 0.001000
100560, 0.000000
100561, 0.000000
100562, 0.000000
100563, 0.001000
100564, 0.000000
100565, 0.000000
100566, 0.001000
100567, 0.000000
100568, 0.000000
100569, 0.000000
100570, 0.001000
100571, 0.000000
100572, 0.000000
100573, 0.000000
100574, 0.001000
100575, 0.000000
100576, 0.000000
100577, 0.001000
100578, 0.000000
100579, 0.000000
100580, 0.000000
100581, 0.001000
100582, 0.000000
100583, 0.000000
100584, 0.001000
100585, 0.000000
100586, 0.000000
100587, 0.000000
100588, 0.001000
100589, 0.000000
100590, 0.000000
100591, 0.001000
100592, 0.000000
100593, 0.000000
100594, 0.000000
100595, 0.001000
100596, 0.000000
100597, 0.000000
100598, 0.000000
100599, 0.001000
100600, 0.000000
100601, 0.000000
100602, 0.001000
100603, 0.000000
100604, 0.000000
100605, 0.000000
100606, 0.001000
100607, 0.000000
100608, 0.001000
100609, 0.000000
100610, 0.000000
100611, 0.001000
100612, 0.001000
100613, 0.000000
100614, 0.000000
100615, 0.001000
100616, 0.000000
100617, 0.000000
100618, 0.000000
100619, 0.001000
100620, 0.000000
100621, 0.000000
100622, 0.001000
100623, 0.000000
100624, 0.000000
100625, 0.000000
100626, 0.001000
100627, 0.000000
100628, 0.000000
100629, 0.000000
100630, 0.001000
100631, 0.000000
100632, 0.000000
100633, 0.000000
100634, 0.001000
100635, 0.000000
100636, 0.000000
100637, 0.000000
100638, 0.001000
100639, 0.000000
100640, 0.000000
100641, 0.000000
100642, 0.001000
100643, 0.000000
100644, 0.000000
100645, 0.001000
100646, 0.000000
100647, 0.000000
100648, 0.000000
100649, 0.001000
100650, 0.000000
100651, 0.000000
100652, 0.000000
100653, 0.001000
100654, 0.000000
100655, 0.000000
100656, 0.000000
100657, 0.001000
100658, 0.000000
100659, 0.000000
100660, 0.000000
100661, 0.001000
100662, 0.000000
100663, 0.000000
100664, 0.000000
100665, 0.001000
100666, 0.001000
100667, 0.001000
100668, 0.001000
100669, 0.000000
100670, 0.000000
100671, 0.001000
100672, 0.000000
100673, 0.000000
100674, 0.000000
100675, 0.001000
100676, 0.000000
100677, 0.000000
100678, 0.001000
100679, 0.000000
100680, 0.000000
100681, 0.000000
100682, 0.001000
100683, 0.000000
100684, 0.000000
100685, 0.000000
100686, 0.001000
100687, 0.000000
100688, 0.000000
100689, 0.001000
100690, 0.000000
100691, 0.000000
100692, 0.000000
100693, 0.001000
100694, 0.000000
100695, 0.000000
100696, 0.000000
100697, 0.001000
100698, 0.000000
100699, 0.000000
100700, 0.001000
100701, 0.000000
100702, 0.000000
100703, 0.000000
100704, 0.001000
100705, 0.000000
100706, 0.000000
100707, 0.000000
100708, 0.001000
100709, 0.000000
100710, 0.000000
100711, 0.000000
100712, 0.001000
100713, 0.000000
100714, 0.000000
100715, 0.000000
100716, 0.001000
100717, 0.000000
